Platform,Asset Ticker,Total Quantity Owned,Market Price,Total Market Value,Asset Class,Strategy,Country,Mese,Anno
BBVA,Cash,"1,0000","14.000,00","14.000,00",Cash,,Italy,8,2025
Binance,BTCEUR,"0,0176","100.172,44","1.759,91",Crypto,Play,United States,8,2025
Binance,ETHEUR,"0,1768","3.443,99","608,76",Crypto,Play,United States,8,2025
Crypto,BTCEUR,"0,0000","100.172,44","2,91",Crypto,Play,United States,8,2025
Crypto,ADAEUR,"8,0000","0,68","5,43",Crypto,Play,United States,8,2025
Crypto,ETHEUR,"0,0040","3.443,99","13,78",Crypto,Play,United States,8,2025
Crypto,SHIB-EUR,"1.000.000,0000","0,00","11,90",Crypto,Play,United States,8,2025
Fineco,Cash,"1,0000","797,82","797,82",Cash,,Italy,8,2025
Fineco,BIT:ACWI,1,"489,37","552,99",ETF,Core,United States,8,2025
Fineco,BIT:PHAU,"2,0000","270,90","541,80",ETF,Core,United States,8,2025
Fineco,BIT:A500,"2,0000","108,06","216,12",ETF,Core,United States,8,2025
Fineco,BIT:EMI,"2,0000","166,98","333,96",ETF,Core,European Union,8,2025
Fineco,BIT:LCCN,"20,0000","18,61","372,20",ETF,Core,China,8,2025
Fineco,BIT:VECA,"3,0000","52,83","158,49",ETF,Core,European Union,8,2025
Fineco,BIT:CSBGU7,"1,0000","120,12","120,12",ETF,Core,United States,8,2025
Fineco,BIT:CMOD,"11,0000","20,71","227,81",ETF,Core,United States,8,2025
Fineco,BIT:SWDA,"26,0000","103,57","2.692,82",ETF,Core,United States,8,2025
Fineco,BIT:EMXC,"16,0000","25,90","414,40",ETF,Core,Japan,8,2025
Mercury,Cash,"1,0000","2.403,33","2.403,33",Cash,,United States,8,2025
Paypal,Cash,"1,0000","700,00","700,00",Cash,,Italy,8,2025
Revolut,Cash,"1,0000","11.700,00","11.700,00",Cash,,Italy,8,2025
Wise,Cash,"1,0000","5.800,00","5.800,00",Cash,,United States,8,2025
Youhodler,BTCEUR,"0,0013","100.172,44","127,22",Crypto,Play,United States,8,2025
BBVA,Cash,"1,0000","14.000,00","14.000,00",Cash,,Italy,9,2025
