,,Tony Portfolio Prova,,,,,,,,Currency:,EUR,,,,365-Day,Trendy Chart,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Screener,,BIT:LCCN,BIT:SWDA,BIT:PHAU,BIT:EMI,BIT:VECA,,,,,,,,,
,,,,,,Portfolio Cost:,,"7.045,27",,Daily Portfolio Change:,,"-4,74","-0,05%",,,,,,,,,,,Geographical Distribution,,,Asset Graph Data,,,
,,,,,,Unrealised ROI:,,"26,16%",,,,,,,Name,,-,iShares Core MSCI World UCITS ETF USD (Acc),-,Amundi Euro Gov Inflation-Linked Bond UCITS ETF A,Vanguard EUR Corporate Bond UCITS ETF EUR Acc,,,Country,Market Value,,Asset Ticker,Unrealised ROI,Total Cost,Market Value
,,,,,,Unrealised P/L:,,"1.843,26",,Top Performer Today:,,Worst Performer Today:,,,Ticker Currency,,-,EUR,-,EUR,EUR,,,Italy,"26.553,03",,ACWIA.MI,"52,24%","394,22","600,15"
,,,,,,,,,,BIT:CMOD,"0,94%",BIT:VECA,"-0,21%",,Current Price,,,"111,95",,"167,95","53,27",,,United States,"15.734,16",,ADAEUR,"-66,67%","11,45","3,82"
,,,,,,Cash Dividends:,,"0,00",,Top Performer Overall:,,Worst Performer Overall:,,,Daily % Change,,,"0,12%",,"-0,10%","-0,21%",,,European Union,"495,71",,BIT:A500,"90,94%","123,34","235,50"
,,,Portfolio Market Value,,,Cash Interest:,,"0,00",,BIT:A500,"90,94%",ADAEUR,"-66,67%",,Daily Change,,,"$0,13",,"-$0,16","-$0,11",,,China,"414,00",,BIT:CMOD,"22,14%","203,35","248,38"
,,"8.888,53",,,,,,,,,,,,,Market Cap,,-,-,-,-,-,,,Japan,"478,08",,BIT:CSBGU7,"3,53%","119,16","123,37"
,,,,,,P/L (Income Included),,,,CAGR Since 1st Trade:,,"4,96%",,,Volume,,-,282.260,-,2.417,26.226,,,,,,BIT:EMI,"1,80%","329,97","335,90"
,,,,,,ROI:,,"26,16%",,,,,,,P/E Ratio,,-,-,-,-,-,,,,,,BIT:SWDA,"14,26%","3.135,36","3.582,40"
,,,,,,P/L:,,"1.843,26",,Stats,,,,,Beta,,-,-,-,-,-,,,,,,BIT:VECA,"-0,13%","160,02","159,81"
,,,,,,,,,,Start Date:,30-nov-2020,End Date:,4-nov-2025,,EPS,,-,-,-,-,-,,,,,,BNBEUR,"2,15%","5,96","6,09"
,,,,,,Realised P/L:,,"44,31",,Cash Deposits:,,"40.578,64",,,52-Week High,,-,"112,55",-,"169,14","53,61",,,,,,BTCEUR,"64,77%","847,94","1.397,17"
,,Number of Unique Holdings:,,16,,Total Profit / Loss,,"1.887,57",,Cash Withdrawals:,,"0,00",,,52-Week Low,,-,"82,70",-,"161,22","50,88",,,,,,EMXC.BE,"23,17%","388,16","478,08"
,,,,,,,,,,Fiat Fees:,,"2,60",,,1-Year Return,,,,,,,,,,,,ETHEUR,"25,48%","514,58","645,68"
,,,,,,,,,,Number of Trades:,,68,,,Signal,,-,Sell,-,Hodl,Sell,,,,,,LCCN.MI,"11,79%","370,33","414,00"
,,,,,,,,,,,,,,,,,,,,,,,,,,,PHAU.MI,"51,15%","426,75","645,02"
,,,,,,,,,,,,,,,,,,Portfolio by Country,,,,,,,,,SHIB-EUR,"-3,77%","8,24","7,93"
,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLEUR,"-18,68%","6,44","5,24"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
