Fineco Portfolio in EUR,,,,,,,,,,,,,,,,,,,,,,,Total Fineco Portfolio in EUR,,,,,,,,,,,,,,,,,,,,,,Total Fineco Portfolio in Original Currencies,,,,,,,,,,,,,,,,,,,,,,,,,Fineco Transactions,,,,,,,,,,,,,,Totals,,,,Fees,,Quantities,Total Cost,,,,Avg. Purchase Price,,,,Cash Balances,,,,Realised P/L,,,,Win/Loss,,Date Breakdown,,,,,Identifiers
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platform:,Fineco,,,,,,,,,,,,,,,,,Top Performer Overall,,BIT:A500,"90,94%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sort By:,Unrealised P/L,Desc,Portfolio Market Value:,,"6.975,64",,Portfolio Cost:,,"5.746,97",Cash Dividends:,,"0,00",P/L (Income Included),,,Realised P/L:,"0,00",Worst Performer Overall,,BIT:VECA,"-0,13%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portfolio with Closed Positions:,,TRUE,Positions:,,"6.822,61","97,81%",Unrealised ROI:,,"18,72%",Cash Interest:,,"0,00",ROI:,"18,72%",,Total Profit / Loss,,Daily Portfolio % Change,,"0,09%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portfolio with Fees:,,TRUE,Cash:,,"153,03","2,19%",Unrealised P/L:,,"1.075,64",,,,P/L:,"1.075,64",,"1.075,64",,Daily Portfolio Change,,"6,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refresh Yahoo Finance Prices:,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asset Ticker,Crypto URL Name,Quantity,Avg. Purchase Price,Market Price,Daily % Change,Daily Change,Total Cost,Market Value,Unrealised ROI,Unrealised P/L,Realised P/L,Cash Dividends,Crypto Interest,Crypto Interest (Fiat Value),Cash Interest,Total Profit/Loss,Asset Class,Sector,Country,Strategy,365 Day Trend,,Asset Ticker,Crypto URL Name,Quantity,Avg. Purchase Price,Market Price,Daily % Change,Daily Change,Total Cost,Market Value,Unrealised ROI,Unrealised P/L,Realised P/L,Cash Dividends,Crypto Interest,Crypto Interest (Fiat Value),Cash Interest,Total Profit/Loss,Asset Class,Sector,Country,Strategy,,Non-Cash Assets,Cash Assets,Asset Ticker,Crypto URL Name,Quantity,Avg. Purchase Price,Currency,Market Price,Daily % Change,Daily Change,Total Cost,Market Value,Unrealised ROI,Unrealised P/L,Realised P/L,Cash Dividends,Crypto Interest,Crypto Interest (Fiat Value),Cash Interest,Total Profit/Loss,Asset Class,Sector,Country,Strategy,,Date,Action,Asset Ticker,Crypto URL Name,Quantity,Price,Fiat Fees,Currency,Platform,Asset Class,Sector,Country,Strategy,Notes,Total,"Total
(Fees Included)",Total (EUR),"Total 
(Fees Included) (EUR)",Fiat Fees,Fiat Fees (EUR),Rolling Quantity,Total Cost,"Total Cost
(Fees Included)",Total Cost (EUR),"Total Cost 
(Fees Included) (EUR)",Avg. Purchase Price,"Avg. Purchase Price
(Fees Included)",Avg. Purchase Price (EUR),"Avg. Purchase Price 
(Fees Included) (EUR)",Cash Balance,"Cash Balance
(Fees Included)",Cash Balance (EUR),"Cash Balance 
(Fees Included) (EUR)",Realised P/L,"Realised P/L
(Fees Included)",Realised P/L (EUR),"Realised P/L 
(Fees Included) (EUR)","Win/
Loss","Win/Loss
(Fees Included)",Day,Month,Year,MMM-YY,All,Asset_Platform
BIT:SWDA,,"32,00","100,99","111,95","0,12%","4,16","3.231,67","3.582,40","10,85%","350,73","0,00","0,00","0,00000000","0,00","0,00","350,73",ETF,ETF,United States,Core,,,Cash_Fineco,,"1,00",,"153,03",,,"0,00","153,03",,,"0,00","0,00","0,00000000","0,00","0,00","0,00",Cash,,Italy,,,ACWIA.MI,Cash_Fineco,Cash_Fineco,,"1,00",,EUR,"153,03",,,"0,00","153,03",,,"0,00","0,00","0,00000000","0,00","0,00","0,00",Cash,,Italy,,,14-gen-2021,Cash Deposit,Cash,,"1,00","5.000,00",,EUR,Fineco,Cash,,Italy,,,"5.000,00","5.000,00","5.000,00","5.000,00",,,"0,00","0,00","0,00","0,00","0,00","5.000,00","5.000,00","5.000,00","5.000,00","5.000,00","5.000,00","5.000,00","5.000,00","0,00","0,00","0,00","0,00",,,14,01,2021,gen-21,All,Cash_Fineco
PHAU.MI,,"2,00","213,38","322,51",,,"426,75","645,02","51,15%","218,27","0,00","0,00","0,00000000","0,00","0,00","218,27",ETF,ETF,United States,Core,,,ACWIA.MI,,"3,00","131,41","200,05",,,"394,22","600,15","52,24%","205,93","0,00","0,00","0,00000000","0,00","0,00","205,93",ETF,ETF,United States,Core,,PHAU.MI,,ACWIA.MI,,"3,00","131,41",EUR,"200,05",,,"394,22","600,15","52,24%","205,93","0,00","0,00","0,00000000","0,00","0,00","205,93",ETF,ETF,United States,Core,,14-gen-2021,Buy,ACWIA.MI,,"1,00","125,41","0,00",EUR,Fineco,ETF,ETF,United States,Core,,"125,41","125,41","125,41","125,41","0,00","0,00","1,00","-125,41","-125,41","-125,41","-125,41","125,41","125,41","125,41","125,41","4.874,59","4.874,59","4.874,59","4.874,59","0,00","0,00","0,00","0,00",,,14,01,2021,gen-21,All,ACWIA.MI_Fineco
ACWIA.MI,,"3,00","131,41","200,05",,,"394,22","600,15","52,24%","205,93","0,00","0,00","0,00000000","0,00","0,00","205,93",ETF,ETF,United States,Core,,,PHAU.MI,,"2,00","213,38","322,51",,,"426,75","645,02","51,15%","218,27","0,00","0,00","0,00000000","0,00","0,00","218,27",ETF,ETF,United States,Core,,BIT:A500,,PHAU.MI,,"2,00","213,38",EUR,"322,51",,,"426,75","645,02","51,15%","218,27","0,00","0,00","0,00000000","0,00","0,00","218,27",ETF,ETF,United States,Core,,15-feb-2021,Buy,PHAU.MI,,"1,00","162,72","0,00",EUR,Fineco,ETF,ETF,United States,Core,,"162,72","162,72","162,72","162,72","0,00","0,00","1,00","-162,72","-162,72","-162,72","-162,72","162,72","162,72","162,72","162,72","4.711,87","4.711,87","4.711,87","4.711,87","0,00","0,00","0,00","0,00",,,15,02,2021,feb-21,All,PHAU.MI_Fineco
BIT:A500,,"2,00","61,67","117,75","0,17%","0,40","123,34","235,50","90,94%","112,16","0,00","0,00","0,00000000","0,00","0,00","112,16",ETF,ETF,United States,Core,,,BIT:A500,,"2,00","61,67","117,75","0,17%","0,40","123,34","235,50","90,94%","112,16","0,00","0,00","0,00000000","0,00","0,00","112,16",ETF,ETF,United States,Core,,BIT:EMI,,BIT:A500,,"2,00","61,67",EUR,"117,75","0,17%","0,40","123,34","235,50","90,94%","112,16","0,00","0,00","0,00000000","0,00","0,00","112,16",ETF,ETF,United States,Core,,17-mar-2021,Buy,BIT:A500,,"2,00","61,67","0,00",EUR,Fineco,ETF,ETF,United States,Core,,"123,34","123,34","123,34","123,34","0,00","0,00","2,00","-123,34","-123,34","-123,34","-123,34","61,67","61,67","61,67","61,67","4.588,53","4.588,53","4.588,53","4.588,53","0,00","0,00","0,00","0,00",,,17,03,2021,mar-21,All,BIT:A500_Fineco
EMXC.BE,,"16,00","24,26","29,88",,,"388,16","478,08","23,17%","89,92","0,00","0,00","0,00000000","0,00","0,00","89,92",ETF,ETF,Japan,Core,,,BIT:EMI,,"2,00","164,99","167,95","-0,10%","-0,32","329,97","335,90","1,80%","5,93","0,00","0,00","0,00000000","0,00","0,00","5,93",ETF,ETF,European Union,Core,,LCCN.MI,,BIT:EMI,,"2,00","164,99",EUR,"167,95","-0,10%","-0,32","329,97","335,90","1,80%","5,93","0,00","0,00","0,00000000","0,00","0,00","5,93",ETF,ETF,European Union,Core,,20-mag-2021,Buy,BIT:EMI,,"1,00","163,73","0,00",EUR,Fineco,ETF,ETF,European Union,Core,,"163,73","163,73","163,73","163,73","0,00","0,00","1,00","-163,73","-163,73","-163,73","-163,73","163,73","163,73","163,73","163,73","4.424,80","4.424,80","4.424,80","4.424,80","0,00","0,00","0,00","0,00",,,20,05,2021,mag-21,All,BIT:EMI_Fineco
BIT:CMOD,,"11,00","18,49","22,58","0,94%","2,31","203,35","248,38","22,14%","45,03","0,00","0,00","0,00000000","0,00","0,00","45,03",ETF,ETF,United States,Core,,,LCCN.MI,,"20,00","18,52","20,70",,,"370,33","414,00","11,79%","43,67","0,00","0,00","0,00000000","0,00","0,00","43,67",ETF,ETF,China,Core,,BIT:VECA,,LCCN.MI,,"20,00","18,52",EUR,"20,70",,,"370,33","414,00","11,79%","43,67","0,00","0,00","0,00000000","0,00","0,00","43,67",ETF,ETF,China,Core,,17-giu-2021,Buy,LCCN.MI,,"5,00","22,81","0,00",EUR,Fineco,ETF,ETF,China,Core,,"114,05","114,05","114,05","114,05","0,00","0,00","5,00","-114,05","-114,05","-114,05","-114,05","22,81","22,81","22,81","22,81","4.310,75","4.310,75","4.310,75","4.310,75","0,00","0,00","0,00","0,00",,,17,06,2021,giu-21,All,LCCN.MI_Fineco
LCCN.MI,,"20,00","18,52","20,70",,,"370,33","414,00","11,79%","43,67","0,00","0,00","0,00000000","0,00","0,00","43,67",ETF,ETF,China,Core,,,BIT:VECA,,"3,00","53,34","53,27","-0,21%","-0,33","160,02","159,81","-0,13%","-0,21","0,00","0,00","0,00000000","0,00","0,00","-0,21",ETF,ETF,European Union,Core,,BIT:CSBGU7,,BIT:VECA,,"3,00","53,34",EUR,"53,27","-0,21%","-0,33","160,02","159,81","-0,13%","-0,21","0,00","0,00","0,00000000","0,00","0,00","-0,21",ETF,ETF,European Union,Core,,19-lug-2021,Buy,BIT:VECA,,"2,00","53,65","0,00",EUR,Fineco,ETF,ETF,European Union,Core,,"107,30","107,30","107,30","107,30","0,00","0,00","2,00","-107,30","-107,30","-107,30","-107,30","53,65","53,65","53,65","53,65","4.203,45","4.203,45","4.203,45","4.203,45","0,00","0,00","0,00","0,00",,,19,07,2021,lug-21,All,BIT:VECA_Fineco
BIT:EMI,,"2,00","164,99","167,95","-0,10%","-0,32","329,97","335,90","1,80%","5,93","0,00","0,00","0,00000000","0,00","0,00","5,93",ETF,ETF,European Union,Core,,,BIT:CSBGU7,,"1,00","119,16","123,37","0,05%","0,06","119,16","123,37","3,53%","4,21","0,00","0,00","0,00000000","0,00","0,00","4,21",ETF,ETF,United States,Core,,BIT:CMOD,,BIT:CSBGU7,,"1,00","119,16",EUR,"123,37","0,05%","0,06","119,16","123,37","3,53%","4,21","0,00","0,00","0,00000000","0,00","0,00","4,21",ETF,ETF,United States,Core,,30-lug-2021,Buy,LCCN.MI,,"6,00","19,46","0,00",EUR,Fineco,ETF,ETF,China,Core,,"116,76","116,76","116,76","116,76","0,00","0,00","11,00","-116,76","-116,76","-116,76","-116,76","20,98","20,98","20,98","20,98","4.086,69","4.086,69","4.086,69","4.086,69","0,00","0,00","0,00","0,00",,,30,07,2021,lug-21,All,LCCN.MI_Fineco
BIT:CSBGU7,,"1,00","119,16","123,37","0,05%","0,06","119,16","123,37","3,53%","4,21","0,00","0,00","0,00000000","0,00","0,00","4,21",ETF,ETF,United States,Core,,,BIT:CMOD,,"11,00","18,49","22,58","0,94%","2,31","203,35","248,38","22,14%","45,03","0,00","0,00","0,00000000","0,00","0,00","45,03",ETF,ETF,United States,Core,,BIT:SWDA,,BIT:CMOD,,"11,00","18,49",EUR,"22,58","0,94%","2,31","203,35","248,38","22,14%","45,03","0,00","0,00","0,00000000","0,00","0,00","45,03",ETF,ETF,United States,Core,,18-ago-2021,Buy,ACWIA.MI,,"1,00","134,24","0,00",EUR,Fineco,ETF,ETF,United States,Core,,"134,24","134,24","134,24","134,24","0,00","0,00","2,00","-134,24","-134,24","-134,24","-134,24","129,83","129,83","129,83","129,83","3.952,45","3.952,45","3.952,45","3.952,45","0,00","0,00","0,00","0,00",,,18,08,2021,ago-21,All,ACWIA.MI_Fineco
BIT:VECA,,"3,00","53,34","53,27","-0,21%","-0,33","160,02","159,81","-0,13%","-0,21","0,00","0,00","0,00000000","0,00","0,00","-0,21",ETF,ETF,European Union,Core,,,BIT:SWDA,,"32,00","100,99","111,95","0,12%","4,16","3.231,67","3.582,40","10,85%","350,73","0,00","0,00","0,00000000","0,00","0,00","350,73",ETF,ETF,United States,Core,,EMXC.BE,,BIT:SWDA,,"32,00","100,99",EUR,"111,95","0,12%","4,16","3.231,67","3.582,40","10,85%","350,73","0,00","0,00","0,00000000","0,00","0,00","350,73",ETF,ETF,United States,Core,,17-set-2021,Buy,BIT:CSBGU7,,"1,00","119,16","0,00",EUR,Fineco,ETF,ETF,United States,Core,,"119,16","119,16","119,16","119,16","0,00","0,00","1,00","-119,16","-119,16","-119,16","-119,16","119,16","119,16","119,16","119,16","3.833,29","3.833,29","3.833,29","3.833,29","0,00","0,00","0,00","0,00",,,17,09,2021,set-21,All,BIT:CSBGU7_Fineco
