Platform,Asset Ticker,Total Quantity Owned,Market Price,Total Market Value,Asset Class,Strategy,Country,Mese,Anno
BBVA,Cash,1,14000,14000,Cash,,Italy,8,2025
Binance,BTCEUR,"0,0175688","100172,4414","1759,91",Crypto,Play,United States,8,2025
Binance,ETHEUR,"0,17676048","3443,990641","608,76",Crypto,Play,United States,8,2025
Crypto,BTCEUR,"0,000029","100172,4414","2,91",Crypto,Play,United States,8,2025
Crypto,ADAEUR,8,"0,6786682901","5,43",Crypto,Play,United States,8,2025
Crypto,ETHEUR,"0,004","3443,990641","13,78",Crypto,Play,United States,8,2025
Crypto,SHIB-EUR,1000000,"0,0000118954495","11,9",Crypto,Play,United States,8,2025
Fineco,Cash,1,"797,8222","797,82",Cash,,Italy,8,2025
Fineco,BIT:ACWI,"1,13","489,37","552,99",ETF,Core,United States,8,2025
Fineco,BIT:PHAU,2,"270,9","541,8",ETF,Core,United States,8,2025
Fineco,BIT:A500,2,"108,06","216,12",ETF,Core,United States,8,2025
Fineco,BIT:EMI,2,"166,98","333,96",ETF,Core,European Union,8,2025
Fineco,BIT:LCCN,20,"18,61","372,2",ETF,Core,China,8,2025
Fineco,BIT:VECA,3,"52,83","158,49",ETF,Core,European Union,8,2025
Fineco,BIT:CSBGU7,1,"120,12","120,12",ETF,Core,United States,8,2025
Fineco,BIT:CMOD,11,"20,71","227,81",ETF,Core,United States,8,2025
Fineco,BIT:SWDA,26,"103,57","2692,82",ETF,Core,United States,8,2025
Fineco,BIT:EMXC,16,"25,9","414,4",ETF,Core,Japan,8,2025
Mercury,Cash,1,"2403,330328","2403,33",Cash,,United States,8,2025
Paypal,Cash,1,700,700,Cash,,Italy,8,2025
Revolut,Cash,1,11700,11700,Cash,,Italy,8,2025
Wise,Cash,1,5800,5800,Cash,,United States,8,2025
Youhodler,BTCEUR,"0,00127","100172,4414","127,22",Crypto,Play,United States,8,2025
BBVA,Cash,1,14000,14000,Cash,,Italy,9,2025
Binance,BTCEUR,"0,01801482","92144,46795","1659,97",Crypto,Play,United States,9,2025
