Transactions,,,,,,,,,,,,,,Totals,,,,Fees,,Quantities,Total Cost,,,,Avg. Purchase Price,,,,Cash Balances,,,,Realised P/L,,,,Win/Loss,,Date Breakdown,,,,,Identifiers,Individual Platforms,,,,,,,,,,,,,,,,
Date,Action,Asset Ticker,Crypto URL Name,Quantity,Price,Fiat Fees,Currency,Platform,Asset Class,Sector,Country,Strategy,Notes,Total,"Total
(Fees Included)",Total (EUR),"Total 
(Fees Included) (EUR)",Fiat Fees,Fiat Fees (EUR),Rolling Quantity,Total Cost,"Total Cost
(Fees Included)",Total Cost (EUR),"Total Cost 
(Fees Included) (EUR)",Avg. Purchase Price,"Avg. Purchase Price
(Fees Included)",Avg. Purchase Price (EUR),"Avg. Purchase Price 
(Fees Included) (EUR)",Cash Balance,"Cash Balance
(Fees Included)",Cash Balance (EUR),"Cash Balance 
(Fees Included) (EUR)",Realised P/L,"Realised P/L
(Fees Included)",Realised P/L (EUR),"Realised P/L 
(Fees Included) (EUR)","Win/
Loss","Win/Loss
(Fees Included)",Day,Month,Year,MMM-YY,All,Asset_Platform,Platform Rolling Quantity,Platform Avg. Purchase Price,Platform Avg. Purchase Price (Fees Included),Platform Avg. Purchase Price (EUR),"Platform Avg. Purchase Price 
(Fees Included) (EUR)",Platform Realised P/L,Platform Realised P/L (Fees Included),Platform Realised P/L (EUR),"Platform Realised P/L 
(Fees Included) (EUR)",Costo nel tempo,Valore Cumulativo,Valore portafoglio,Valore cumulato portafoglio,Month,Year,,
14/01/2021,Cash Deposit,Cash,,"1,0000","5.000,00",,EUR,Fineco,Cash,,Italy,,,"5.000,00","5.000,00","5.000,00","5.000,00",,,"0,00","0,00","0,00","0,00","0,00","5.000,00","5.000,00","5.000,00","5.000,00","5.000,00","5.000,00","5.000,00","5.000,00","0,00","0,00","0,00","0,00",,,14,01,2021,gen-21,All,Cash_Fineco,"0,00","5.000,00","5.000,00","5.000,00","5.000,00","0,00","0,00","0,00","0,00",0,0,,,gennaio,2021,5000,5000
14/01/2021,Buy,ACWIA.MI,,"1,0000","125,41","0,00",EUR,Fineco,ETF,ETF,United States,Core,,"125,41","125,41","125,41","125,41","0,00","0,00","1,00","-125,41","-125,41","-125,41","-125,41","125,41","125,41","125,41","125,41","4.874,59","4.874,59","4.874,59","4.874,59","0,00","0,00","0,00","0,00",,,15,02,2021,feb-21,All,ACWIA.MI_Fineco,"1,00","125,41","125,41","125,41","125,41","0,00","0,00","0,00","0,00",125,125,,,gennaio,2021,125,5125
15/02/2021,Buy,PHAU.MI,,"1,0000","162,72","0,00",EUR,Fineco,ETF,ETF,United States,Core,,"162,72","162,72","162,72","162,72","0,00","0,00","1,00","-162,72","-162,72","-162,72","-162,72","162,72","162,72","162,72","162,72","4.711,87","4.711,87","4.711,87","4.711,87","0,00","0,00","0,00","0,00",,,17,03,2021,mar-21,All,PHAU.MI_Fineco,"1,00","162,72","162,72","162,72","162,72","0,00","0,00","0,00","0,00",163,288,,236,febbraio,2021,163,5288
17/03/2021,Buy,BIT:A500,,"2,0000","61,67","0,00",EUR,Fineco,ETF,ETF,United States,Core,,"123,34","123,34","123,34","123,34","0,00","0,00","2,00","-123,34","-123,34","-123,34","-123,34","61,67","61,67","61,67","61,67","4.588,53","4.588,53","4.588,53","4.588,53","0,00","0,00","0,00","0,00",,,20,05,2021,mag-21,All,BIT:A500_Fineco,"2,00","61,67","61,67","61,67","61,67","0,00","0,00","0,00","0,00",123,411,236,403,marzo,2021,123,5411
20/05/2021,Buy,BIT:EMI,,"1,0000","163,73","0,00",EUR,Fineco,ETF,ETF,European Union,Core,,"163,73","163,73","163,73","163,73","0,00","0,00","1,00","-163,73","-163,73","-163,73","-163,73","163,73","163,73","163,73","163,73","4.424,80","4.424,80","4.424,80","4.424,80","0,00","0,00","0,00","0,00",,,26,05,2021,mag-21,All,BIT:EMI_Fineco,"1,00","163,73","163,73","163,73","163,73","0,00","0,00","0,00","0,00",164,575,168,406,maggio,2021,164,5575
26/05/2021,Buy,BTCEUR,,"0,0000","32.758,00","0,00",EUR,Crypto,Crypto,Crypto,United States,Play,,"0,95","0,95","0,95","0,95","0,00","0,00","0,00","-0,95","-0,95","-0,95","-0,95","32.758,00","32.758,00","32.758,00","32.758,00","-0,95","-0,95","-0,95","-0,95","0,00","0,00","0,00","0,00",,,26,05,2021,mag-21,All,BTCEUR_Crypto,"0,00","32.758,00","32.758,00","32.758,00","32.758,00","0,00","0,00","0,00","0,00",1,576,3,,maggio,2021,1,5576
26/05/2021,Buy,ADAEUR,,"8,0000","1,43","0,00",EUR,Crypto,Crypto,Crypto,United States,Play,,"11,45","11,45","11,45","11,45","0,00","0,00","8,00","-11,45","-11,45","-11,45","-11,45","1,43","1,43","1,43","1,43","-12,40","-12,40","-12,40","-12,40","0,00","0,00","0,00","0,00",,,26,05,2021,mag-21,All,ADAEUR_Crypto,"8,00","1,43","1,43","1,43","1,43","0,00","0,00","0,00","0,00",11,588,,419,maggio,2021,11,5588
26/05/2021,Buy,ETHEUR,,"0,0040","2.332,50","0,00",EUR,Crypto,Crypto,Crypto,United States,Play,,"9,33","9,33","9,33","9,33","0,00","0,00","0,00","-9,33","-9,33","-9,33","-9,33","2.332,50","2.332,50","2.332,50","2.332,50","-21,73","-21,73","-21,73","-21,73","0,00","0,00","0,00","0,00",,,26,05,2021,mag-21,All,ETHEUR_Crypto,"0,00","2.332,50","2.332,50","2.332,50","2.332,50","0,00","0,00","0,00","0,00",9,597,13,,maggio,2021,9,5597
26/05/2021,Buy,SHIB-EUR,,1.000.000,"0,00","0,00",EUR,Crypto,Crypto,Crypto,United States,Play,,"8,24","8,24","8,24","8,24","0,00","0,00","1.000.000,00","-8,24","-8,24","-8,24","-8,24","0,00","0,00","0,00","0,00","-29,97","-29,97","-29,97","-29,97","0,00","0,00","0,00","0,00",,,26,05,2021,mag-21,All,SHIB-EUR_Crypto,"1.000.000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",8,605,,,maggio,2021,8,5605
17/06/2021,Buy,LCCN.MI,,"5,0000","22,81","0,00",EUR,Fineco,ETF,ETF,China,Core,,"114,05","114,05","114,05","114,05","0,00","0,00","5,00","-114,05","-114,05","-114,05","-114,05","22,81","22,81","22,81","22,81","4.310,75","4.310,75","4.310,75","4.310,75","0,00","0,00","0,00","0,00",,,19,07,2021,lug-21,All,LCCN.MI_Fineco,"5,00","22,81","22,81","22,81","22,81","0,00","0,00","0,00","0,00",114,719,,525,giugno,2021,114,5719
